0.628,0.691,4.0,-5.545,1.0,0.342,0.0848,0.0,0.0731,0.285,98.484,47.84868114,23.2873867,-17.63882904,20.24906377,44.03478833,-14.43612212,-6.942597015,6.981603799,-9.248932157,5.413449118,-23.70377883,-2.4998019
0.708,0.902,1.0,-7.001,1.0,0.0527,0.000494,0.793,0.321,0.238,126.993,46.89274942,44.72944086,-49.59176258,19.48851731,23.44829051,-50.18192928,-5.596139095,3.280134636,0.811267148,3.700774687,-7.402670843,-2.70576959
0.43,0.256,7.0,-12.714,1.0,0.0269,0.854,0.0,0.335,0.167,94.879,42.10940354,16.32400591,-5.546608268,-22.9892815,18.59729724,-17.10968701,-23.74904724,-5.893222441,1.185767717,1.988580709,-9.640494094,2.10996063
0.685,0.765,7.0,-6.435,1.0,0.145,0.0607,0.0,0.382,0.65,163.989,50.2828159,22.58448994,-9.56198994,0.68406841,11.92511167,-23.32347082,1.962699195,-3.441080483,-11.52839738,10.13010262,-19.47785312,-8.97784507
0.541,0.506,4.0,-7.94,1.0,0.046,0.829,0.00787,0.314,0.477,125.055,46.04479854,-9.738432117,21.44785547,-4.985154745,28.35913577,-19.68056642,-10.09446715,3.324205839,-0.440791241,0.488091971,-8.100335766,7.697277372
0.743,0.666,7.0,-10.447,1.0,0.0484,0.0434,0.86,0.114,0.539,97.982,44.94555858,4.92049768,-41.07886543,5.030935615,2.84312181,-22.63843503,9.178363109,-10.14447158,-5.393189675,-1.330354988,-10.82592575,2.341298144
0.261,0.162,11.0,-18.168,1.0,0.0356,0.73,0.871,0.143,0.0448,82.095,34.04328227,-104.1643179,-5.933237146,-14.90371249,-1.086690451,-29.81536306,3.096248688,1.852390346,-10.07321931,-3.106578174,-6.502766002,-6.103114376
0.823,0.605,8.0,-8.638,1.0,0.224,0.23,0.0,0.0995,0.75,95.049,44.2528508,0.900797781,-42.24086313,2.54565598,25.28190629,-9.223397041,-9.3034291,1.748245376,-2.562706535,6.403942047,-18.19381258,-4.761443896
0.631,0.87,0.0,-5.614,1.0,0.0362,0.00385,0.000328,0.46,0.431,122.017,50.75584597,48.43006357,-4.50499022,-11.03240954,2.050909535,-32.52213936,-4.395893643,-0.854976773,-9.306808068,1.863691932,-5.034903423,2.156425428
0.404,0.427,2.0,-12.578,1.0,0.0683,0.227,0.856,0.0907,0.0388,162.668,39.41340784,-66.5749902,-69.20615494,10.6109528,4.847800534,-43.12209617,-1.201722173,2.250002671,0.94122618,7.04099911,-7.915788068,5.421970614
0.663,0.696,11.0,-5.994,1.0,0.0349,0.0563,0.0,0.226,0.449,139.98,48.78521788,10.29512972,-8.625712846,-13.29889421,20.96319521,-30.39815491,0.873593199,1.42836398,-4.349263224,1.407991184,-8.51956801,-4.496918136
0.764,0.623,7.0,-7.03,0.0,0.0788,0.0937,0.0,0.0938,0.511,105.993,47.77321078,20.3834281,-22.90276307,-14.07227614,25.7688415,-18.11816667,-7.633710784,0.358828431,-6.295464052,-0.945019608,-15.5691683,-6.185666667
0.787,0.654,7.0,-9.557,1.0,0.0519,0.00283,0.873,0.0545,0.357,126.996,42.79582333,9.893971186,-81.29570288,33.95436419,8.763235711,-48.60071564,1.588764289,-19.19113604,-10.97260557,2.698988663,-16.40206519,4.29645914
0.686,0.883,9.0,-5.754,1.0,0.0446,0.0442,0.0,0.0407,0.78,122.932,50.67162899,65.86449017,4.647530713,-2.121988943,16.40570516,-27.49983292,-8.780714988,6.231663391,-11.02205037,-1.452394349,-5.93922113,3.356165848
0.61,0.947,4.0,-5.885,0.0,0.0657,0.000168,0.839,0.53,0.321,174.006,48.54311994,50.06179126,-30.66000232,15.93305021,17.63748768,-60.7645881,-8.83276941,-3.201818224,-12.96649,3.853807531,-9.218777778,5.911997675
0.506,0.401,2.0,-11.203,1.0,0.0381,0.575,0.0,0.106,0.338,133.409,42.64732865,-10.89349912,-3.241254833,-14.67754745,28.68172583,-25.28554394,-2.753181019,-3.906061511,-5.241482425,-1.201477153,-8.746860281,1.333550967
