11,0,16,11,11,11.0,11.0,16.0,16.0,8.0,4.0,11.0,10.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,27,14,14,14,22.0,14.0,14.0,14.0,14.0,13.0,18.0,26.0,14.0,14.0,14.0,14.0,14.0,14.0,29.0,14.0,3.0,14.0,3.0,14.0,18.0,14.0,14.0,14.0,14.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,10,8,19,8,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,27,27,10,1,27.0,1.0,10.0,13.0,20.0,1.0,1.0,12.0,1.0,8.0,27.0,29.0,1.0,1.0,1.0,12.0,15.0,27.0,8.0,12.0,12.0,1.0,27.0,13.0,20.0,12.0,20.0,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,29,1,29,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,29,12,20,20,12.0,18.0,21.0,8.0,21.0,29.0,21.0,12.0,8.0,29.0,27.0,1.0,29.0,20.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,21,8,9,20,13.0,29.0,16.0,8.0,8.0,27.0,8.0,29.0,1.0,15.0,29.0,8.0,18.0,16.0,8.0,27.0,8.0,8.0,8.0,27.0,23.0,8.0,10.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,11,7,17,20.0,5.0,20.0,11.0,20.0,13.0,12.0,20.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,26,25,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10,20,20,29,21.0,20.0,1.0,13.0,0.0,20.0,1.0,1.0,12.0,20.0,29.0,12.0,13.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,15,20,22,18,15.0,11.0,10.0,23.0,28.0,23.0,11.0,15.0,21.0,26.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,8,29,29,8,8.0,8.0,8.0,1.0,8.0,13.0,13.0,21.0,10.0,10.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3,16,4,26,8.0,26.0,13.0,8.0,28.0,13.0,16.0,28.0,28.0,16.0,26.0,3.0,16.0,8.0,13.0,11.0,11.0,13.0,13.0,11.0,10.0,13.0,8.0,13.0,10.0,23.0,8.0,3.0,13.0,16.0,13.0,13.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,13,3,25,25.0,3.0,3.0,16.0,15.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
